threshold	threshold_label	source_db	pathway_id	pathway_label	module_edges	pathway_edges	p_adj_CAPRINIM	p_adj_BioGRID	p_adj_STRING	neglog10_padj_CAPRINIM	neglog10_padj_BioGRID	neglog10_padj_STRING	odds_ratio_CAPRINIM	odds_ratio_BioGRID	odds_ratio_STRING	overlap_edges_CAPRINIM	overlap_edges_BioGRID	overlap_edges_STRING	edge_precision_in_pathway_CAPRINIM	edge_precision_in_pathway_BioGRID	edge_precision_in_pathway_STRING	pathway_edge_coverage_CAPRINIM	pathway_edge_coverage_BioGRID	pathway_edge_coverage_STRING	jaccard_edges_CAPRINIM	jaccard_edges_BioGRID	jaccard_edges_STRING	delta_caprinim_vs_biogrid	delta_caprinim_vs_string	mean_delta_caprinim
0.05	0.05	kegg	mmu:04020	[KEGG] Calcium signaling pathway	519	64	0.4246818459556053	NA	NA	0.3719363035721107	NA	NA	1.7492073576134355	NA	NA	5	NA	NA	0.009633911368015413	NA	NA	0.078125	NA	NA	0.00865051903114187	NA	NA	NA	NA	NA
0.05	0.05	kegg	mmu:04260	[KEGG] Cardiac muscle contraction	519	12	0.0021622527710921215	NA	NA	2.6650935376381772	NA	NA	14.80330823744834	NA	NA	5	NA	NA	0.009633911368015413	NA	NA	0.4166666666666667	NA	NA	0.009505703422053232	NA	NA	NA	NA	NA
0.05	0.05	kegg	mmu:04261	[KEGG] Adrenergic signaling in cardiomyocytes	519	21	0.041370942649270194	NA	NA	1.3833045834624194	NA	NA	4.865231634642335	NA	NA	4	NA	NA	0.007707129094412331	NA	NA	0.19047619047619047	NA	NA	0.007462686567164179	NA	NA	NA	NA	NA
0.05	0.05	kegg	mmu:04270	[KEGG] Vascular smooth muscle contraction	519	18	1	NA	NA	-0	NA	NA	1.209605718563167	NA	NA	1	NA	NA	0.0019267822736030828	NA	NA	0.05555555555555555	NA	NA	0.0018656716417910447	NA	NA	NA	NA	NA
0.05	0.05	kegg	mmu:04961	[KEGG] Endocrine and other factor-regulated calcium reabsorption	519	2	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
0.05	0.05	kegg	mmu:05410	[KEGG] Hypertrophic cardiomyopathy	519	7	0.012833667858988084	NA	NA	1.891649204633052	NA	NA	15.485609860952378	NA	NA	3	NA	NA	0.005780346820809248	NA	NA	0.42857142857142855	NA	NA	0.0057361376673040155	NA	NA	NA	NA	NA
0.05	0.05	kegg	mmu:05412	[KEGG] Arrhythmogenic right ventricular cardiomyopathy	519	4	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
0.05	0.05	kegg	mmu:05414	[KEGG] Dilated cardiomyopathy	519	18	0.00649503031621793	NA	NA	2.187418817472334	NA	NA	7.971359616190169	NA	NA	5	NA	NA	0.009633911368015413	NA	NA	0.2777777777777778	NA	NA	0.009398496240601503	NA	NA	NA	NA	NA
0.05	0.05	kegg	mmu:05415	[KEGG] Diabetic cardiomyopathy	519	45	0.7385135151951202	NA	NA	0.13164155245635933	NA	NA	1.4709867519648625	NA	NA	3	NA	NA	0.005780346820809248	NA	NA	0.06666666666666667	NA	NA	0.0053475935828877	NA	NA	NA	NA	NA
0.05	0.05	reactome	R-MMU-2730905	[REACTOME] Role of LAT2/NTAL/LAB on calcium mobilization	519	5	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
0.05	0.05	reactome	R-MMU-390522	[REACTOME] Striated Muscle Contraction	519	9	0.022982448445691413	NA	NA	1.63860370542106	NA	NA	10.326440261119318	NA	NA	3	NA	NA	0.005780346820809248	NA	NA	0.3333333333333333	NA	NA	0.005714285714285714	NA	NA	NA	NA	NA
0.05	0.05	reactome	R-MMU-397014	[REACTOME] Muscle contraction	519	36	0.00649503031621793	NA	NA	2.187418817472334	NA	NA	5.014316536413686	NA	NA	7	NA	NA	0.01348747591522158	NA	NA	0.19444444444444445	NA	NA	0.012773722627737226	NA	NA	NA	NA	NA
0.05	0.05	reactome	R-MMU-418360	[REACTOME] Platelet calcium homeostasis	519	1	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
0.05	0.05	reactome	R-MMU-445355	[REACTOME] Smooth Muscle Contraction	519	4	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
0.05	0.05	reactome	R-MMU-8949215	[REACTOME] Mitochondrial calcium ion transport	519	9	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
0.05	0.05	wikipathways	WP1560	[WIKIPATHWAYS] MicroRNAs in cardiomyocyte hypertrophy	519	25	1	NA	NA	-0	NA	NA	0.8562674374850956	NA	NA	1	NA	NA	0.0019267822736030828	NA	NA	0.04	NA	NA	0.001841620626151013	NA	NA	NA	NA	NA
0.05	0.05	wikipathways	WP553	[WIKIPATHWAYS] Calcium regulation in cardiac cells	519	1	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
0.05	0.05	kegg	mmu:04020	[KEGG] Calcium signaling pathway	1729	40	NA	1	NA	NA	-0	NA	NA	0.837010097627281	NA	NA	4	NA	NA	0.002313475997686524	NA	NA	0.1	NA	NA	0.0022662889518413596	NA	NA	NA	NA
0.05	0.05	kegg	mmu:04260	[KEGG] Cardiac muscle contraction	1729	3	NA	0.5339965387243084	NA	NA	0.27246155798605964	NA	NA	15.08321329734756	NA	NA	2	NA	NA	0.001156737998843262	NA	NA	0.6666666666666666	NA	NA	0.0011560693641618498	NA	NA	NA	NA
0.05	0.05	kegg	mmu:04261	[KEGG] Adrenergic signaling in cardiomyocytes	1729	18	NA	0.8598907633417912	NA	NA	0.06555671607165556	NA	NA	2.1557137986223345	NA	NA	4	NA	NA	0.002313475997686524	NA	NA	0.2222222222222222	NA	NA	0.002294893861158921	NA	NA	NA	NA
0.05	0.05	kegg	mmu:04270	[KEGG] Vascular smooth muscle contraction	1729	21	NA	1	NA	NA	-0	NA	NA	0.7930641955911651	NA	NA	2	NA	NA	0.001156737998843262	NA	NA	0.09523809523809523	NA	NA	0.0011441647597254005	NA	NA	NA	NA
0.05	0.05	kegg	mmu:04961	[KEGG] Endocrine and other factor-regulated calcium reabsorption	1729	4	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
0.05	0.05	kegg	mmu:05410	[KEGG] Hypertrophic cardiomyopathy	1729	11	NA	1	NA	NA	-0	NA	NA	1.675402820809958	NA	NA	2	NA	NA	0.001156737998843262	NA	NA	0.18181818181818182	NA	NA	0.0011507479861910242	NA	NA	NA	NA
0.05	0.05	kegg	mmu:05412	[KEGG] Arrhythmogenic right ventricular cardiomyopathy	1729	8	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
0.05	0.05	kegg	mmu:05414	[KEGG] Dilated cardiomyopathy	1729	19	NA	0.5339965387243084	NA	NA	0.27246155798605964	NA	NA	2.69612929770219	NA	NA	5	NA	NA	0.002891844997108155	NA	NA	0.2631578947368421	NA	NA	0.002868617326448652	NA	NA	NA	NA
0.05	0.05	kegg	mmu:05415	[KEGG] Diabetic cardiomyopathy	1729	11	NA	1	NA	NA	-0	NA	NA	1.675402820809958	NA	NA	2	NA	NA	0.001156737998843262	NA	NA	0.18181818181818182	NA	NA	0.0011507479861910242	NA	NA	NA	NA
0.05	0.05	reactome	R-MMU-2730905	[REACTOME] Role of LAT2/NTAL/LAB on calcium mobilization	1729	11	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
0.05	0.05	reactome	R-MMU-390522	[REACTOME] Striated Muscle Contraction	1729	8	NA	1	NA	NA	-0	NA	NA	2.5134032963834105	NA	NA	2	NA	NA	0.001156737998843262	NA	NA	0.25	NA	NA	0.0011527377521613833	NA	NA	NA	NA
0.05	0.05	reactome	R-MMU-397014	[REACTOME] Muscle contraction	1729	31	NA	1	NA	NA	-0	NA	NA	0.8071385504811934	NA	NA	3	NA	NA	0.001735106998264893	NA	NA	0.0967741935483871	NA	NA	0.001707455890722823	NA	NA	NA	NA
0.05	0.05	reactome	R-MMU-418360	[REACTOME] Platelet calcium homeostasis	1729	2	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
0.05	0.05	reactome	R-MMU-445355	[REACTOME] Smooth Muscle Contraction	1729	4	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
0.05	0.05	reactome	R-MMU-8949215	[REACTOME] Mitochondrial calcium ion transport	1729	0	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
0.05	0.05	wikipathways	WP1560	[WIKIPATHWAYS] MicroRNAs in cardiomyocyte hypertrophy	1729	28	NA	1	NA	NA	-0	NA	NA	0.2787142000489008	NA	NA	1	NA	NA	5.78368999421631e-4	NA	NA	0.03571428571428571	NA	NA	5.694760820045558e-4	NA	NA	NA	NA
0.05	0.05	wikipathways	WP553	[WIKIPATHWAYS] Calcium regulation in cardiac cells	1729	0	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA
0.05	0.05	kegg	mmu:04020	[KEGG] Calcium signaling pathway	3058	333	NA	NA	1	NA	NA	-0	NA	NA	0.9673499886614297	NA	NA	18	NA	NA	0.005886200130804447	NA	NA	0.05405405405405406	NA	NA	0.005336495701156241	NA	NA	NA
0.05	0.05	kegg	mmu:04260	[KEGG] Cardiac muscle contraction	3058	19	NA	NA	0.2099342850319887	NA	NA	0.6779166296201332	NA	NA	4.519567012442916	NA	NA	4	NA	NA	0.0013080444735120995	NA	NA	0.21052631578947367	NA	NA	0.0013016596160104132	NA	NA	NA
0.05	0.05	kegg	mmu:04261	[KEGG] Adrenergic signaling in cardiomyocytes	3058	52	NA	NA	0.2099342850319887	NA	NA	0.6779166296201332	NA	NA	2.6374159285873473	NA	NA	7	NA	NA	0.002289077828646174	NA	NA	0.1346153846153846	NA	NA	0.0022558814050918467	NA	NA	NA
0.05	0.05	kegg	mmu:04270	[KEGG] Vascular smooth muscle contraction	3058	73	NA	NA	1	NA	NA	-0	NA	NA	0.9815402804351743	NA	NA	4	NA	NA	0.0013080444735120995	NA	NA	0.0547945205479452	NA	NA	0.0012791813239526704	NA	NA	NA
0.05	0.05	kegg	mmu:04961	[KEGG] Endocrine and other factor-regulated calcium reabsorption	3058	12	NA	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
0.05	0.05	kegg	mmu:05410	[KEGG] Hypertrophic cardiomyopathy	3058	30	NA	NA	0.3547601351907746	NA	NA	0.4500651882748574	NA	NA	2.606869191179872	NA	NA	4	NA	NA	0.0013080444735120995	NA	NA	0.13333333333333333	NA	NA	0.0012970168612191958	NA	NA	NA
0.05	0.05	kegg	mmu:05412	[KEGG] Arrhythmogenic right ventricular cardiomyopathy	3058	20	NA	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
0.05	0.05	kegg	mmu:05414	[KEGG] Dilated cardiomyopathy	3058	175	NA	NA	0.380642177389336	NA	NA	0.41948309100282377	NA	NA	1.4744873603177697	NA	NA	14	NA	NA	0.004578155657292348	NA	NA	0.08	NA	NA	0.004349176762969867	NA	NA	NA
0.05	0.05	kegg	mmu:05415	[KEGG] Diabetic cardiomyopathy	3058	64	NA	NA	1	NA	NA	-0	NA	NA	0.5458886148749394	NA	NA	2	NA	NA	6.540222367560497e-4	NA	NA	0.03125	NA	NA	6.41025641025641e-4	NA	NA	NA
0.05	0.05	reactome	R-MMU-2730905	[REACTOME] Role of LAT2/NTAL/LAB on calcium mobilization	3058	27	NA	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
0.05	0.05	reactome	R-MMU-390522	[REACTOME] Striated Muscle Contraction	3058	64	NA	NA	0.4132322044802236	NA	NA	0.3838058399040041	NA	NA	1.7530347788414444	NA	NA	6	NA	NA	0.001962066710268149	NA	NA	0.09375	NA	NA	0.0019255455712451862	NA	NA	NA
0.05	0.05	reactome	R-MMU-397014	[REACTOME] Muscle contraction	3058	199	NA	NA	0.3055973393442485	NA	NA	0.5148504312257367	NA	NA	1.5847754186503455	NA	NA	17	NA	NA	0.005559189012426423	NA	NA	0.08542713567839195	NA	NA	0.005246913580246914	NA	NA	NA
0.05	0.05	reactome	R-MMU-418360	[REACTOME] Platelet calcium homeostasis	3058	10	NA	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
0.05	0.05	reactome	R-MMU-445355	[REACTOME] Smooth Muscle Contraction	3058	69	NA	NA	1	NA	NA	-0	NA	NA	0.5051009893893955	NA	NA	2	NA	NA	6.540222367560497e-4	NA	NA	0.028985507246376812	NA	NA	6.4e-4	NA	NA	NA
0.05	0.05	reactome	R-MMU-8949215	[REACTOME] Mitochondrial calcium ion transport	3058	17	NA	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
0.05	0.05	wikipathways	WP1560	[WIKIPATHWAYS] MicroRNAs in cardiomyocyte hypertrophy	3058	74	NA	NA	1	NA	NA	-0	NA	NA	0.46999085861104484	NA	NA	2	NA	NA	6.540222367560497e-4	NA	NA	0.02702702702702703	NA	NA	6.389776357827476e-4	NA	NA	NA
0.05	0.05	wikipathways	WP553	[WIKIPATHWAYS] Calcium regulation in cardiac cells	3058	5	NA	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
