source_db	pathway_id	pathway_name	n_nodes_in_benchmark	n_pathway_edges_in_universe	pathway_edge_ids_in_universe	overlap_edges	module_edges	pathway_edges	universe_edges	odds_ratio	p_value	p_adj	neglog10_padj	edge_precision_in_pathway	pathway_edge_coverage	jaccard_edges	resource	threshold	threshold_label	pathway_label	significant
kegg	mmu:04020	Calcium signaling pathway	172	345		5	519	64	11188	1.7492073576134355	0.17486899539348455	0.4246818459556053	0.3719363035721107	0.009633911368015413	0.078125	0.00865051903114187	CAPRINIM	0.05	0.05	[KEGG] Calcium signaling pathway	FALSE
kegg	mmu:04260	Cardiac muscle contraction	16	19		5	519	12	11188	14.80330823744834	1.2719133947600714e-4	0.0021622527710921215	2.6650935376381772	0.009633911368015413	0.4166666666666667	0.009505703422053232	CAPRINIM	0.05	0.05	[KEGG] Cardiac muscle contraction	TRUE
kegg	mmu:04261	Adrenergic signaling in cardiomyocytes	81	59		4	519	21	11188	4.865231634642335	0.014601509170330656	0.041370942649270194	1.3833045834624194	0.007707129094412331	0.19047619047619047	0.007462686567164179	CAPRINIM	0.05	0.05	[KEGG] Adrenergic signaling in cardiomyocytes	TRUE
kegg	mmu:04270	Vascular smooth muscle contraction	75	76		1	519	18	11188	1.209605718563167	0.5749956140844206	1	-0	0.0019267822736030828	0.05555555555555555	0.0018656716417910447	CAPRINIM	0.05	0.05	[KEGG] Vascular smooth muscle contraction	FALSE
kegg	mmu:04961	Endocrine and other factor-regulated calcium reabsorption	24	13		0	519	2	11188	0	1	1	-0	0	0	0	CAPRINIM	0.05	0.05	[KEGG] Endocrine and other factor-regulated calcium reabsorption	FALSE
kegg	mmu:05410	Hypertrophic cardiomyopathy	26	30		3	519	7	11188	15.485609860952378	0.0030196865550560195	0.012833667858988084	1.891649204633052	0.005780346820809248	0.42857142857142855	0.0057361376673040155	CAPRINIM	0.05	0.05	[KEGG] Hypertrophic cardiomyopathy	TRUE
kegg	mmu:05412	Arrhythmogenic right ventricular cardiomyopathy	17	20		0	519	4	11188	0	1	1	-0	0	0	0	CAPRINIM	0.05	0.05	[KEGG] Arrhythmogenic right ventricular cardiomyopathy	FALSE
kegg	mmu:05414	Dilated cardiomyopathy	55	175		5	519	18	11188	7.971359616190169	0.0010912693112374058	0.00649503031621793	2.187418817472334	0.009633911368015413	0.2777777777777778	0.009398496240601503	CAPRINIM	0.05	0.05	[KEGG] Dilated cardiomyopathy	TRUE
kegg	mmu:05415	Diabetic cardiomyopathy	69	80		3	519	45	11188	1.4709867519648625	0.3475357718565272	0.7385135151951202	0.13164155245635933	0.005780346820809248	0.06666666666666667	0.0053475935828877	CAPRINIM	0.05	0.05	[KEGG] Diabetic cardiomyopathy	FALSE
reactome	R-MMU-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	10	27		0	519	5	11188	0	1	1	-0	0	0	0	CAPRINIM	0.05	0.05	[REACTOME] Role of LAT2/NTAL/LAB on calcium mobilization	FALSE
reactome	R-MMU-390522	Striated Muscle Contraction	14	64		3	519	9	11188	10.326440261119318	0.006759543660497475	0.022982448445691413	1.63860370542106	0.005780346820809248	0.3333333333333333	0.005714285714285714	CAPRINIM	0.05	0.05	[REACTOME] Striated Muscle Contraction	TRUE
reactome	R-MMU-397014	Muscle contraction	79	214		7	519	36	11188	5.014316536413686	0.0011461818205090464	0.00649503031621793	2.187418817472334	0.01348747591522158	0.19444444444444445	0.012773722627737226	CAPRINIM	0.05	0.05	[REACTOME] Muscle contraction	TRUE
reactome	R-MMU-418360	Platelet calcium homeostasis	18	11		0	519	1	11188	0	1	1	-0	0	0	0	CAPRINIM	0.05	0.05	[REACTOME] Platelet calcium homeostasis	FALSE
reactome	R-MMU-445355	Smooth Muscle Contraction	19	70		0	519	4	11188	0	1	1	-0	0	0	0	CAPRINIM	0.05	0.05	[REACTOME] Smooth Muscle Contraction	FALSE
reactome	R-MMU-8949215	Mitochondrial calcium ion transport	10	18		0	519	9	11188	0	1	1	-0	0	0	0	CAPRINIM	0.05	0.05	[REACTOME] Mitochondrial calcium ion transport	FALSE
wikipathways	WP1560	MicroRNAs in cardiomyocyte hypertrophy	59	79		1	519	25	11188	0.8562674374850956	0.6954110868103762	1	-0	0.0019267822736030828	0.04	0.001841620626151013	CAPRINIM	0.05	0.05	[WIKIPATHWAYS] MicroRNAs in cardiomyocyte hypertrophy	FALSE
wikipathways	WP553	Calcium regulation in cardiac cells	8	5		0	519	1	11188	0	1	1	-0	0	0	0	CAPRINIM	0.05	0.05	[WIKIPATHWAYS] Calcium regulation in cardiac cells	FALSE
kegg	mmu:04020	Calcium signaling pathway	172	345		4	1729	40	14759	0.837010097627281	0.7050723565858562	1	-0	0.002313475997686524	0.1	0.0022662889518413596	BioGRID	0.05	0.05	[KEGG] Calcium signaling pathway	FALSE
kegg	mmu:04260	Cardiac muscle contraction	16	19		2	1729	3	14759	15.08321329734756	0.037939997402494645	0.5339965387243084	0.27246155798605964	0.001156737998843262	0.6666666666666666	0.0011560693641618498	BioGRID	0.05	0.05	[KEGG] Cardiac muscle contraction	FALSE
kegg	mmu:04261	Adrenergic signaling in cardiomyocytes	81	59		4	1729	18	14759	2.1557137986223345	0.15174542882502196	0.8598907633417912	0.06555671607165556	0.002313475997686524	0.2222222222222222	0.002294893861158921	BioGRID	0.05	0.05	[KEGG] Adrenergic signaling in cardiomyocytes	FALSE
kegg	mmu:04270	Vascular smooth muscle contraction	75	76		2	1729	21	14759	0.7930641955911651	0.7235902687239193	1	-0	0.001156737998843262	0.09523809523809523	0.0011441647597254005	BioGRID	0.05	0.05	[KEGG] Vascular smooth muscle contraction	FALSE
kegg	mmu:04961	Endocrine and other factor-regulated calcium reabsorption	24	13		0	1729	4	14759	0	1	1	-0	0	0	0	BioGRID	0.05	0.05	[KEGG] Endocrine and other factor-regulated calcium reabsorption	FALSE
kegg	mmu:05410	Hypertrophic cardiomyopathy	26	30		2	1729	11	14759	1.675402820809958	0.3753806723919626	1	-0	0.001156737998843262	0.18181818181818182	0.0011507479861910242	BioGRID	0.05	0.05	[KEGG] Hypertrophic cardiomyopathy	FALSE
kegg	mmu:05412	Arrhythmogenic right ventricular cardiomyopathy	17	20		0	1729	8	14759	0	1	1	-0	0	0	0	BioGRID	0.05	0.05	[KEGG] Arrhythmogenic right ventricular cardiomyopathy	FALSE
kegg	mmu:05414	Dilated cardiomyopathy	55	175		5	1729	19	14759	2.69612929770219	0.06282312220285981	0.5339965387243084	0.27246155798605964	0.002891844997108155	0.2631578947368421	0.002868617326448652	BioGRID	0.05	0.05	[KEGG] Dilated cardiomyopathy	FALSE
kegg	mmu:05415	Diabetic cardiomyopathy	69	80		2	1729	11	14759	1.675402820809958	0.3753806723919626	1	-0	0.001156737998843262	0.18181818181818182	0.0011507479861910242	BioGRID	0.05	0.05	[KEGG] Diabetic cardiomyopathy	FALSE
reactome	R-MMU-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	10	27		0	1729	11	14759	0	1	1	-0	0	0	0	BioGRID	0.05	0.05	[REACTOME] Role of LAT2/NTAL/LAB on calcium mobilization	FALSE
reactome	R-MMU-390522	Striated Muscle Contraction	14	64		2	1729	8	14759	2.5134032963834105	0.23914024825545493	1	-0	0.001156737998843262	0.25	0.0011527377521613833	BioGRID	0.05	0.05	[REACTOME] Striated Muscle Contraction	FALSE
reactome	R-MMU-397014	Muscle contraction	79	214		3	1729	31	14759	0.8071385504811934	0.7207796988528166	1	-0	0.001735106998264893	0.0967741935483871	0.001707455890722823	BioGRID	0.05	0.05	[REACTOME] Muscle contraction	FALSE
reactome	R-MMU-418360	Platelet calcium homeostasis	18	11		0	1729	2	14759	0	1	1	-0	0	0	0	BioGRID	0.05	0.05	[REACTOME] Platelet calcium homeostasis	FALSE
reactome	R-MMU-445355	Smooth Muscle Contraction	19	70		0	1729	4	14759	0	1	1	-0	0	0	0	BioGRID	0.05	0.05	[REACTOME] Smooth Muscle Contraction	FALSE
reactome	R-MMU-8949215	Mitochondrial calcium ion transport	10	18		0	1729	0	14759	0	1	1	-0	0	0	0	BioGRID	0.05	0.05	[REACTOME] Mitochondrial calcium ion transport	FALSE
wikipathways	WP1560	MicroRNAs in cardiomyocyte hypertrophy	59	79		1	1729	28	14759	0.2787142000489008	0.9695651180494878	1	-0	5.78368999421631e-4	0.03571428571428571	5.694760820045558e-4	BioGRID	0.05	0.05	[WIKIPATHWAYS] MicroRNAs in cardiomyocyte hypertrophy	FALSE
wikipathways	WP553	Calcium regulation in cardiac cells	8	5		0	1729	0	14759	0	1	1	-0	0	0	0	BioGRID	0.05	0.05	[WIKIPATHWAYS] Calcium regulation in cardiac cells	FALSE
kegg	mmu:04020	Calcium signaling pathway	172	345		18	3058	333	54836	0.9673499886614297	0.588241205529374	1	-0	0.005886200130804447	0.05405405405405406	0.005336495701156241	STRING	0.05	0.05	[KEGG] Calcium signaling pathway	FALSE
kegg	mmu:04260	Cardiac muscle contraction	16	19		4	3058	19	54836	4.519567012442916	0.01907258674121159	0.2099342850319887	0.6779166296201332	0.0013080444735120995	0.21052631578947367	0.0013016596160104132	STRING	0.05	0.05	[KEGG] Cardiac muscle contraction	FALSE
kegg	mmu:04261	Adrenergic signaling in cardiomyocytes	81	59		7	3058	52	54836	2.6374159285873473	0.024698151180233965	0.2099342850319887	0.6779166296201332	0.002289077828646174	0.1346153846153846	0.0022558814050918467	STRING	0.05	0.05	[KEGG] Adrenergic signaling in cardiomyocytes	FALSE
kegg	mmu:04270	Vascular smooth muscle contraction	75	76		4	3058	73	54836	0.9815402804351743	0.586307512574127	1	-0	0.0013080444735120995	0.0547945205479452	0.0012791813239526704	STRING	0.05	0.05	[KEGG] Vascular smooth muscle contraction	FALSE
kegg	mmu:04961	Endocrine and other factor-regulated calcium reabsorption	24	13		0	3058	12	54836	0	1	1	-0	0	0	0	STRING	0.05	0.05	[KEGG] Endocrine and other factor-regulated calcium reabsorption	FALSE
kegg	mmu:05410	Hypertrophic cardiomyopathy	26	30		4	3058	30	54836	2.606869191179872	0.08347297298606461	0.3547601351907746	0.4500651882748574	0.0013080444735120995	0.13333333333333333	0.0012970168612191958	STRING	0.05	0.05	[KEGG] Hypertrophic cardiomyopathy	FALSE
kegg	mmu:05412	Arrhythmogenic right ventricular cardiomyopathy	17	20		0	3058	20	54836	0	1	1	-0	0	0	0	STRING	0.05	0.05	[KEGG] Arrhythmogenic right ventricular cardiomyopathy	FALSE
kegg	mmu:05414	Dilated cardiomyopathy	55	175		14	3058	175	54836	1.4744873603177697	0.11195358158509883	0.380642177389336	0.41948309100282377	0.004578155657292348	0.08	0.004349176762969867	STRING	0.05	0.05	[KEGG] Dilated cardiomyopathy	FALSE
kegg	mmu:05415	Diabetic cardiomyopathy	69	80		2	3058	64	54836	0.5458886148749394	0.8786680852197625	1	-0	6.540222367560497e-4	0.03125	6.41025641025641e-4	STRING	0.05	0.05	[KEGG] Diabetic cardiomyopathy	FALSE
reactome	R-MMU-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	10	27		0	3058	27	54836	0	1	1	-0	0	0	0	STRING	0.05	0.05	[REACTOME] Role of LAT2/NTAL/LAB on calcium mobilization	FALSE
reactome	R-MMU-390522	Striated Muscle Contraction	14	64		6	3058	64	54836	1.7530347788414444	0.14584666040478478	0.4132322044802236	0.3838058399040041	0.001962066710268149	0.09375	0.0019255455712451862	STRING	0.05	0.05	[REACTOME] Striated Muscle Contraction	FALSE
reactome	R-MMU-397014	Muscle contraction	79	214		17	3058	199	54836	1.5847754186503455	0.05392894223722032	0.3055973393442485	0.5148504312257367	0.005559189012426423	0.08542713567839195	0.005246913580246914	STRING	0.05	0.05	[REACTOME] Muscle contraction	FALSE
reactome	R-MMU-418360	Platelet calcium homeostasis	18	11		0	3058	10	54836	0	1	1	-0	0	0	0	STRING	0.05	0.05	[REACTOME] Platelet calcium homeostasis	FALSE
reactome	R-MMU-445355	Smooth Muscle Contraction	19	70		2	3058	69	54836	0.5051009893893955	0.9033297519532917	1	-0	6.540222367560497e-4	0.028985507246376812	6.4e-4	STRING	0.05	0.05	[REACTOME] Smooth Muscle Contraction	FALSE
reactome	R-MMU-8949215	Mitochondrial calcium ion transport	10	18		0	3058	17	54836	0	1	1	-0	0	0	0	STRING	0.05	0.05	[REACTOME] Mitochondrial calcium ion transport	FALSE
wikipathways	WP1560	MicroRNAs in cardiomyocyte hypertrophy	59	79		2	3058	74	54836	0.46999085861104484	0.9232415366117669	1	-0	6.540222367560497e-4	0.02702702702702703	6.389776357827476e-4	STRING	0.05	0.05	[WIKIPATHWAYS] MicroRNAs in cardiomyocyte hypertrophy	FALSE
wikipathways	WP553	Calcium regulation in cardiac cells	8	5		0	3058	5	54836	0	1	1	-0	0	0	0	STRING	0.05	0.05	[WIKIPATHWAYS] Calcium regulation in cardiac cells	FALSE
